model,parameters,relative_error,omega,a,N,control
unrestricted,80,0.0,nan,2,32,gaussian_fourier_phase
constant,1,1.0,nan,2,32,finite_blaschke
depth_only,5,0.3793522382905122,nan,2,32,finite_blaschke
diagonal_only,16,0.974195125096549,nan,2,32,finite_blaschke
rank_1,23,0.3415467792494617,nan,2,32,finite_blaschke
rank_2,45,0.1987039088058991,nan,2,32,finite_blaschke
rank_3,67,0.11055409897918544,nan,2,32,finite_blaschke
rank_4,89,3.218908354381248e-16,nan,2,32,finite_blaschke
rank_5,111,3.126920495148724e-16,nan,2,32,finite_blaschke
unrestricted,80,0.0,nan,2,32,finite_blaschke
constant,1,1.0,nan,2,32,random_rational_allpass
depth_only,5,0.3326908318789593,nan,2,32,random_rational_allpass
diagonal_only,16,0.989180407348251,nan,2,32,random_rational_allpass
rank_1,23,0.3140335069339476,nan,2,32,random_rational_allpass
rank_2,45,0.1780843093631473,nan,2,32,random_rational_allpass
rank_3,67,0.023176170277935705,nan,2,32,random_rational_allpass
rank_4,89,9.575558778785267e-16,nan,2,32,random_rational_allpass
rank_5,111,9.585831608644489e-16,nan,2,32,random_rational_allpass
unrestricted,80,0.0,nan,2,32,random_rational_allpass
constant,1,1.0,nan,2,32,generic_smooth_unit_phase
depth_only,5,0.3826329158839607,nan,2,32,generic_smooth_unit_phase
diagonal_only,16,0.9911105146138378,nan,2,32,generic_smooth_unit_phase
rank_1,23,0.3671723539159664,nan,2,32,generic_smooth_unit_phase
rank_2,45,0.13447365882816012,nan,2,32,generic_smooth_unit_phase
rank_3,67,0.024055789765533984,nan,2,32,generic_smooth_unit_phase
rank_4,89,2.536299316931429e-16,nan,2,32,generic_smooth_unit_phase
rank_5,111,2.536299316931429e-16,nan,2,32,generic_smooth_unit_phase
unrestricted,80,0.0,nan,2,32,generic_smooth_unit_phase
constant,1,1.0,nan,2,64,gaussian_fourier_phase
depth_only,6,0.4245124795214474,nan,2,64,gaussian_fourier_phase
diagonal_only,32,0.9839858795225751,nan,2,64,gaussian_fourier_phase
rank_1,40,0.4049310464917385,nan,2,64,gaussian_fourier_phase
rank_2,79,0.2332350361368884,nan,2,64,gaussian_fourier_phase
rank_3,118,0.12491389041865542,nan,2,64,gaussian_fourier_phase
rank_4,157,0.0648394479740839,nan,2,64,gaussian_fourier_phase
rank_5,196,4.2157630329599207e-16,nan,2,64,gaussian_fourier_phase
rank_6,235,4.217384168583369e-16,nan,2,64,gaussian_fourier_phase
unrestricted,192,0.0,nan,2,64,gaussian_fourier_phase
constant,1,1.0,nan,2,64,finite_blaschke
depth_only,6,0.25744281023379134,nan,2,64,finite_blaschke
diagonal_only,32,0.9928868210220483,nan,2,64,finite_blaschke
rank_1,40,0.22662695479026543,nan,2,64,finite_blaschke
rank_2,79,0.15179001961541735,nan,2,64,finite_blaschke
rank_3,118,0.06444310338416578,nan,2,64,finite_blaschke
rank_4,157,0.03626876691859534,nan,2,64,finite_blaschke
rank_5,196,7.080049804817007e-16,nan,2,64,finite_blaschke
rank_6,235,6.888295481283176e-16,nan,2,64,finite_blaschke
unrestricted,192,0.0,nan,2,64,finite_blaschke
constant,1,1.0,nan,2,64,random_rational_allpass
depth_only,6,0.32620728573287144,nan,2,64,random_rational_allpass
diagonal_only,32,0.9836654191642075,nan,2,64,random_rational_allpass
rank_1,40,0.30414472949520627,nan,2,64,random_rational_allpass
rank_2,79,0.2289492203139285,nan,2,64,random_rational_allpass
rank_3,118,0.14827468959745463,nan,2,64,random_rational_allpass
rank_4,157,0.0844132540492062,nan,2,64,random_rational_allpass
rank_5,196,5.59369612791876e-16,nan,2,64,random_rational_allpass
rank_6,235,5.492235172268339e-16,nan,2,64,random_rational_allpass
unrestricted,192,0.0,nan,2,64,random_rational_allpass
constant,1,1.0,nan,2,64,generic_smooth_unit_phase
depth_only,6,0.3765221736291109,nan,2,64,generic_smooth_unit_phase
diagonal_only,32,0.9901025872896074,nan,2,64,generic_smooth_unit_phase
rank_1,40,0.3695024827900401,nan,2,64,generic_smooth_unit_phase
rank_2,79,0.23799459037834342,nan,2,64,generic_smooth_unit_phase
rank_3,118,0.13492097617329188,nan,2,64,generic_smooth_unit_phase
rank_4,157,0.08357874503260838,nan,2,64,generic_smooth_unit_phase
rank_5,196,1.08697001263461e-15,nan,2,64,generic_smooth_unit_phase
rank_6,235,1.0746986681185903e-15,nan,2,64,generic_smooth_unit_phase
unrestricted,192,0.0,nan,2,64,generic_smooth_unit_phase
