omega,a,N,depth,node_index,d,e,span_width,theta_mean,theta_std,theta_min,theta_max,minimum_cosine,minimum_sine,left_phase_summary,right_phase_summary,local_reconstruction_residual,unitarity_residual,symmetry_residual,control
2,2,16,3,4,1,16,4,0.02870087982738921,0.012973600627545864,0.015727279199843347,0.041674480454935076,0.9991317445131033,0.01572663085782503,0.040664993079832,0.0,1.5518513412127787e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,3,5,7,16,4,1.442255077859874,0.05484619248831124,1.3874088853715627,1.4971012703481852,0.07362836872440018,0.9832315970754801,2.7755575615628914e-16,0.0,1.4387257520441632e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,2,3,3,8,8,1.1918065842949406,0.21218491200372813,0.9529670885697222,1.5238683577309708,0.04691074656340335,0.8151378270072842,0.15379187319913723,0.10720234400813891,1.7054979594315364e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,3,6,3,16,4,0.7796820785706718,0.4187830911235667,0.3608989874471052,1.1984651696942386,0.3637878489465884,0.35311545030782515,-0.6752873704909609,0.0,1.030781848383864e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,3,7,5,16,4,0.9524921314805932,0.09263233048435088,0.8598598009962423,1.045124461964944,0.5017942722285911,0.7577510843645399,-0.982738389675758,0.0,5.260556062561278e-16,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,32,0,0,1,2,64,1.2937736458701468,0.5048161280642407,0.04578868022840129,1.5707963267948966,6.123233995736766e-17,0.045772681789747714,0.005181425886360653,-0.033446478074458955,1.0446104299640155e-14,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,1,0,1,4,32,0.9472361920632084,0.4751873622926697,9.503180953478262e-13,1.4915777467079094,0.07913574894717573,9.503180953478262e-13,-0.13234649537322563,0.03474374443596123,3.667607169085793e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,2,0,1,8,16,0.5320481627486197,0.44410561967585405,1.2707042221385983e-13,1.529269935123243,0.041514457730518255,1.2707042221385983e-13,-0.1960203454217277,-0.28652905707980175,8.334476893652558e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,3,0,1,16,8,0.1327202376221664,0.10649259872954478,0.03573365513859004,0.31052499629122887,0.9521732839987175,0.0357260509418007,-0.03380125352683647,-0.047124704094150455,1.5753480049517533e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,0,1,32,4,0.02702527070904652,0.02702527070879284,2.5367873184314026e-13,0.05405054141783936,0.9985396250738621,2.5367873184314026e-13,2.220446049250313e-16,0.0,5.697581672835882e-16,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,1,15,32,4,0.7617661168824169,0.7617661168818067,6.101978209271927e-13,1.5235322337642236,0.047246497829912956,6.101978209271927e-13,-0.9568447827723332,0.0,9.047525732056066e-16,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,3,1,7,16,8,1.1035519775305485,0.6412812757905499,2.157960446380952e-12,1.5664328958464309,0.004363417102200125,2.157960446380952e-12,0.30038783200666475,-0.233350849153945,1.7050473434500814e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,2,7,32,4,0.8199428603837688,0.3197928643996178,0.500149995984151,1.1397357247833866,0.41783461868688093,0.4795571670705054,0.682134698213428,0.0,8.114513194377952e-16,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,3,9,32,4,0.7225443818227977,0.7225443818223194,4.78385002149255e-13,1.445088763645117,0.12537674462434958,4.78385002149255e-13,-1.6653345369377348e-16,0.0,1.05633781588286e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,2,1,3,8,16,0.976669646115091,0.43125750922932843,0.013420750629965644,1.50847637152987,0.06227962363145233,0.0134203477503826,-0.025465029349169485,0.39964624568156015,3.832575525142351e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,3,2,3,16,8,0.9496776779916781,0.36789360632994034,0.3271870340833341,1.2650830930309023,0.3009734146239097,0.3213805649970535,-0.009043527200205057,-0.21743099832016466,1.7874789911095595e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,4,3,32,4,0.7618073777831676,0.18275466041958788,0.5790527173635798,0.9445620382027555,0.5860977895248332,0.547231324483014,0.0,-0.41109221182044925,8.214165074596666e-16,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,5,13,32,4,0.6933629947723443,0.6025078820684298,0.09085511270391444,1.295870876840774,0.27147518735895304,0.09073016806832479,-0.9975880728974796,0.9975880728975074,1.0592524002841544e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,3,3,5,16,8,0.762642973095525,0.24390362296952753,0.5191642386447892,1.1655668469355507,0.3942296654830433,0.49615467465984353,0.21569962905480772,0.4640372233693688,1.8256727646035515e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,6,5,32,4,0.752691329738023,0.47918570993564613,0.27350561980237686,1.2318770396736691,0.3324680504840878,0.2701084051289104,3.885780586188048e-16,-0.8347060391226031,2.1512593074361554e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,7,11,32,4,0.6350664352107858,0.26774547390982467,0.36732096130096115,0.9028119091206105,0.619404869610263,0.3591163962126229,-0.997922595961184,0.0,1.874899170373524e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,1,1,1,4,32,0.9472361920632085,0.47518736229266983,9.501035689582058e-13,1.4915777467079094,0.07913574894717573,9.501035689582058e-13,-0.04002031743815432,0.007163652176235179,3.4815367819336294e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,2,2,1,8,16,0.5320481627486199,0.4441056196758547,1.259565081627477e-13,1.5292699351232442,0.041514457730517144,1.259565081627477e-13,0.08041008427660316,-0.17091879593471132,8.487823787328026e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,3,4,1,16,8,0.13272023762216648,0.10649259872954421,0.03573365513858913,0.31052499629122754,0.9521732839987178,0.03572605094179979,-0.4616760784856785,0.44835262791613995,1.7446443042706451e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,8,1,32,4,0.027025270709047373,0.027025270708792844,2.545275124239624e-13,0.05405054141784022,0.9985396250738621,2.545275124239624e-13,5.551115123125783e-17,0.0,1.1691736423179642e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,9,15,32,4,0.7617661168824178,0.7617661168818065,6.112468054534962e-13,1.5235322337642243,0.04724649782991229,6.112468054534962e-13,1.1102230246251565e-16,-0.9568447827723332,1.2873810689958274e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
