omega,a,N,symmetry_residual,lambda_min,lambda_max,spectral_radius,defect_margin,determinant_arguments_positive,logdet_plus,logdet_minus,log_m,m,discretization,log_m_delta_from_previous,converged_1e-8
2,3,64,0.0,-0.9990706620486222,0.999767838906471,0.999767838906471,0.0004642682882846083,True,-25.112115758956477,-30.358594361052425,5.246478602095948,189.8963889486702,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
2,3,128,0.0,-0.9997630546870769,0.9999402283859198,0.9999402283859198,0.0001195396555145889,True,-34.66117637431712,-40.3847489441896,5.723572569872481,305.99616520757957,piecewise-constant Galerkin; triangular cell averages split at log integers,0.4770939677765327,False
2,4,64,0.0,-0.9991114429331099,0.9997805351880243,0.9997805351880243,0.0004388814591476109,True,-34.171298352864206,-38.1894969800951,4.018198627230895,55.600857690789645,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
2,4,128,0.0,-0.9997734124889167,0.9999431430859685,0.9999431430859685,0.00011371059535425498,True,-51.159143475977615,-57.04830658635576,5.889163110378142,361.10295456649425,piecewise-constant Galerkin; triangular cell averages split at log integers,1.8709644831472474,False
1.5,1.05,64,0.0,-0.04562306618138533,0.17822539600676462,0.17822539600676462,0.9682357082182319,True,0.13057804913274865,-0.16579324324196715,0.2963712923747158,1.34496944103379,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.5,1.05,128,0.0,-0.045640198533174955,0.17823311231947558,0.17823311231947558,0.9682329576729132,True,0.13054077279498832,-0.16576767280113835,0.2963084455961267,1.3448849166931893,piecewise-constant Galerkin; triangular cell averages split at log integers,6.284677858914289e-05,False
1.5,1.1,64,0.0,-0.12111013883773993,0.4067214564678183,0.4067214564678183,0.8345776568486966,True,0.24590416271128634,-0.44776086307404245,0.6936650257853287,2.0010359586607396,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.5,1.1,128,0.0,-0.12115484199450649,0.406738078859638,0.406738078859638,0.8345641352055709,True,0.24577701301506166,-0.44771496520999465,0.6934919782250564,2.000689714229317,piecewise-constant Galerkin; triangular cell averages split at log integers,0.00017304756027236579,False
1.5,1.25,64,0.0,-0.4152938184736964,0.8667625318968335,0.8667625318968335,0.24872271329979068,True,0.17565630770376395,-1.833369971844872,2.0090262795486358,7.456053699538194,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.5,1.25,128,0.0,-0.41544095221239574,0.8668077257376712,0.8668077257376712,0.24864436660148626,True,0.1748633812173621,-1.8337240001544068,2.008587381371769,7.452781969193609,piecewise-constant Galerkin; triangular cell averages split at log integers,0.0004388981768665978,False
1.5,1.5,64,0.0,-0.9577874467996452,0.9991272505601023,0.9991272505601023,0.0017447371882105545,True,-2.238570981687511,-7.195297568430599,4.956726586743088,142.1277906052093,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.5,1.5,128,0.0,-0.9582085142290374,0.9993024384953231,0.9993024384953231,0.0013946364173010872,True,-2.2531059271778737,-7.4204385337865215,5.167332606608648,175.4462286689932,piecewise-constant Galerkin; triangular cell averages split at log integers,0.21060601986556016,False
1.5,2,64,0.0,-0.9989983849376618,0.9997358434675733,0.9997358434675733,0.0005282432861798414,True,-11.740494839984125,-16.761682200022832,5.021187360038708,151.59119029947644,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.5,2,128,0.0,-0.9997300587978504,0.9999308055277919,0.9999308055277919,0.00013838415654121583,True,-14.372923002437675,-19.732092491095187,5.359169488657512,212.54834931180395,piecewise-constant Galerkin; triangular cell averages split at log integers,0.3379821286188047,False
1.5,3,64,0.0,-0.9991130260064686,0.9997772897168686,0.9997772897168686,0.00044537096639252205,True,-25.710001207303325,-31.113782783984448,5.403781576681123,222.24526663371506,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.5,3,128,0.0,-0.9997724190939614,0.9999428807729577,0.9999428807729577,0.0001142351914785733,True,-35.59886717848688,-41.42929246472113,5.830425286234252,340.50345971709174,piecewise-constant Galerkin; triangular cell averages split at log integers,0.42664370955312947,False
1.5,4,64,0.0,-0.9991385976160421,0.9997926748085944,0.9997926748085944,0.0004146073990762833,True,-34.74031963417298,-38.84273315792488,4.102413523751906,60.486096200159,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.5,4,128,0.0,-0.9997819705055351,0.9999445386007924,0.9999445386007924,0.00011091972244847703,True,-51.92915867803136,-57.89765548545196,5.968496807420607,390.91760443002306,piecewise-constant Galerkin; triangular cell averages split at log integers,1.8660832836687007,False
1.25,1.05,64,0.0,-0.07656834411570437,0.24843817419836806,0.24843817419836806,0.9382784736009814,True,0.1655899164010861,-0.23886276997522926,0.4044526863763154,1.498482135891182,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.25,1.05,128,0.0,-0.07659500903738214,0.24844781240793207,0.24844781240793207,0.938273684509713,True,0.16548715750264786,-0.23883286523596936,0.4043200227386172,1.4982833549857995,piecewise-constant Galerkin; triangular cell averages split at log integers,0.00013266363769814937,False
1.25,1.1,64,0.0,-0.17360676986328671,0.4892530791084011,0.4892530791084011,0.7606314245829486,True,0.2555451764358438,-0.5792395557659568,0.8347847322018005,2.3043179494405472,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.25,1.1,128,0.0,-0.17366679516165334,0.4892721397308548,0.4892721397308548,0.7606127732831909,True,0.2552014767254421,-0.5792808797806237,0.8344823565060657,2.3036212850298923,piecewise-constant Galerkin; triangular cell averages split at log integers,0.00030237569573476897,False
1.25,1.25,64,0.0,-0.48976882323969007,0.8985031841497617,0.8985031841497617,0.19269202807273944,True,0.05129568396541728,-2.1329296820751833,2.1842253660406006,8.883764221843588,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.25,1.25,128,0.0,-0.4899343411183507,0.8985539269191065,0.8985539269191065,0.19260084041825298,True,0.04925143330209614,-2.1344149236446857,2.183666356946782,8.878799504646555,piecewise-constant Galerkin; triangular cell averages split at log integers,0.0005590090938185632,False
1.25,1.5,64,0.0,-0.9707846295351859,0.9993598115788049,0.9993598115788049,0.0012799670011754971,True,-2.685731691209032,-7.754123600199176,5.068391908990144,158.9185662371797,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.25,1.5,128,0.0,-0.9712231681961293,0.9995335006889792,0.9995335006889792,0.0009327810004344794,True,-2.7146701932884767,-8.072979511805366,5.3583093185168895,212.36560017722954,piecewise-constant Galerkin; triangular cell averages split at log integers,0.28991740952674583,False
1.25,2,64,0.0,-0.9990327552110492,0.999745274189138,0.999745274189138,0.0005093867364853732,True,-12.207818548759011,-17.31569548053436,5.107876931775348,165.31899851626525,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.25,2,128,0.0,-0.9997438113959283,0.9999326406735202,0.9999326406735202,0.0001347141156807785,True,-14.949613911418725,-20.397917287240965,5.44830337582224,232.3635975875361,piecewise-constant Galerkin; triangular cell averages split at log integers,0.3404264440468925,False
1.25,3,64,0.0,-0.9991343669438417,0.9997810677706902,0.9997810677706902,0.00043781652729857345,True,-26.07487831811704,-31.510420448306654,5.435542130189614,229.41718855232472,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.25,3,128,0.0,-0.9997763397994495,0.9999440919202973,0.9999440919202973,0.00011181303369200979,True,-36.24298431965163,-42.08130083154474,5.838316511893105,343.2010791183514,piecewise-constant Galerkin; triangular cell averages split at log integers,0.402774381703491,False
1.25,4,64,0.0,-0.9991542332450718,0.9997970248576913,0.9997970248576913,0.00040590908570903306,True,-34.53987709862952,-38.97753237871412,4.437655280084606,84.57640103181757,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.25,4,128,0.0,-0.999785743215081,0.9999451179159441,0.9999451179159441,0.000109761156068644,True,-52.44878219733611,-58.43187518711831,5.9830929897822,396.66535463224807,piecewise-constant Galerkin; triangular cell averages split at log integers,1.5454377096975946,False
1.1,1.05,64,0.0,-0.10435906026159254,0.30031367180800383,0.30031367180800383,0.9098116985251945,True,0.18404082537448357,-0.2986819572354046,0.48272278260988816,1.620480617332309,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.1,1.05,128,0.0,-0.10439457026085905,0.3003250729102215,0.3003250729102215,0.9098048505814702,True,0.18384118450689746,-0.29876247947212753,0.482603663979025,1.6202875993960764,piecewise-constant Galerkin; triangular cell averages split at log integers,0.00011911863086316865,False
1.1,1.1,64,0.0,-0.21507889529677543,0.5423487233458406,0.5423487233458406,0.7058578622851368,True,0.24654137291377265,-0.6820925940637151,0.9286339669774878,2.5310493180645914,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.1,1.1,128,0.0,-0.21515189336220386,0.542370191323865,0.542370191323865,0.7058345755633141,True,0.24581039119627363,-0.6825842014527383,0.928394592649012,2.5304435223426056,piecewise-constant Galerkin; triangular cell averages split at log integers,0.000239374328475761,False
1.1,1.25,64,0.0,-0.5385739428205877,0.9152947038013171,0.9152947038013171,0.1622356051932593,True,-0.06208603013041247,-2.3573229907651854,2.2952369606347727,9.92678799159483,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.1,1.25,128,0.0,-0.5387541691075555,0.9153496735549902,0.9153496735549902,0.16213497512277286,True,-0.06638536583841859,-2.361452416806515,2.2950670509680964,9.925101477637583,piecewise-constant Galerkin; triangular cell averages split at log integers,0.00016990966667629337,False
1.1,1.5,64,0.0,-0.9768802570573367,0.9994605293936709,0.9994605293936709,0.00107865018412312,True,-3.017919189515953,-8.136344460484025,5.118425270968072,167.07206912437195,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
1.1,1.5,128,0.0,-0.9773289383419346,0.9996333261165069,0.9996333261165069,0.0007332133172494038,True,-3.0641842256942766,-8.529665575648615,5.465481349954338,236.3896138576164,piecewise-constant Galerkin; triangular cell averages split at log integers,0.3470560789862658,False
