omega,a,N,symmetry_residual,lambda_min,lambda_max,spectral_radius,defect_margin,determinant_arguments_positive,logdet_plus,logdet_minus,log_m,m,quadrature,ordinary_fredholm_claim
1.05,1.1,128,0.0,-0.23100880722498007,0.5606093355993766,0.5606093355993766,0.6857171728388255,True,0.23830530697188856,-0.7231451399576156,0.9614504469295042,2.615487349121197,midpoint_log_grid_split-aware-kernel-sampling,True
1.05,1.25,128,0.0,-0.5557187152744202,0.9205893771214517,0.9205893771214517,0.1525151987311375,True,-0.11571169020385463,-2.4491387552550634,2.333427065051209,10.313225132331555,midpoint_log_grid_split-aware-kernel-sampling,True
1.05,1.5,128,0.0,-0.9791206941198467,0.9996615329455666,0.9996615329455666,0.0006768195489198492,True,-3.199530974248826,-8.6989141622487,5.499383187999874,244.54104988188158,midpoint_log_grid_split-aware-kernel-sampling,True
1.05,2,128,0.0,-0.9997527746711304,0.9999342176962864,0.9999342176962864,0.00013156028011562793,True,-15.560462248879178,-21.079758803949154,5.519296555069976,249.45949443799452,midpoint_log_grid_split-aware-kernel-sampling,True
1.05,3,128,0.0,-0.9997792693301985,0.9999449982633817,0.9999449982633817,0.00011000044804565512,True,-36.94265189457246,-42.75035882790647,5.807706933334011,332.8549912187994,midpoint_log_grid_split-aware-kernel-sampling,True
1.05,4,128,0.0,-0.9997884550995014,0.9999456924932947,0.9999456924932947,0.00010861206410539559,True,-53.012910479016234,-58.97887212912511,5.9659616501088735,389.9278219641076,midpoint_log_grid_split-aware-kernel-sampling,True
1.01,1.05,128,0.0,-0.12567468273273996,0.33536027031252225,0.33536027031252225,0.887533489095912,True,0.19152210569450048,-0.34350512547127043,0.5350272311657709,1.7074947386934147,midpoint_log_grid_split-aware-kernel-sampling,True
1.01,1.1,128,0.0,-0.2445068000003951,0.5753841001115929,0.5753841001115929,0.6689331373387724,True,0.23008940557852464,-0.7584841189226165,0.9885735245011411,2.6873982291167704,midpoint_log_grid_split-aware-kernel-sampling,True
1.01,1.25,128,0.0,-0.5695399390805653,0.9246561687338894,0.9246561687338894,0.14501096962236493,True,-0.16039949377880558,-2.524984168166834,2.3645846743880288,10.639618993470876,midpoint_log_grid_split-aware-kernel-sampling,True
1.01,1.5,128,0.0,-0.9804739257284487,0.9996824996608458,0.9996824996608458,0.0006348998718430643,True,-3.3167440031033113,-8.842439611056092,5.52569560795278,251.06091726513162,midpoint_log_grid_split-aware-kernel-sampling,True
