task,width,model,parameters,validation_score,effective_affine_dof,score,learning_auc,seconds,steps_to_80,steps_to_90,accuracy,normalized_mse,tail_score,tail_survival,jacobian_variability,base_only_drop,uniform_drop,mismatched_drop,up_allocation_variation,down_allocation_variation,up_correction_ratio,down_correction_ratio
localized_steps_1d,16,ordinary_mlp,2261,0.9650415174233128,,0.8739935665392758,0.9045279775387177,0.34513370800002957,100.0,166.66666666666666,,0.14594787855943045,0.7968540752188605,,4.3424941301345825,,,,,,,
localized_steps_1d,16,soft_eikonal,2261,0.9993578610887038,,0.9540704205198334,0.9652575089987284,3.874743569666672,66.66666666666667,91.66666666666667,,0.05039000619823734,0.9085671726928434,,1.9809387028217316,0.4895286454656089,0.4340626976338382,0.5031900631477016,0.09412477537989616,0.09269769117236137,0.12762344628572464,0.34382115801175434
localized_steps_1d,36,ordinary_mlp,7741,0.9681419221605033,,0.9014689976852482,0.9187596004584201,0.542766444666635,58.333333333333336,141.66666666666666,,0.10945068299770355,0.8393230757555262,,4.759403030077617,,,,,,,
localized_steps_1d,36,soft_eikonal,7741,0.9996498959573793,,0.9736703885881614,0.9720892326035706,4.078541194666665,50.0,75.0,,0.02786886125492553,0.9458612794713236,,1.8252501090367634,0.3483891377415791,0.4185456998550956,0.43162857011440786,0.08934854219357173,0.045237467934687935,0.09618371973435084,0.23275182644526163
lorenz_lobes,16,ordinary_mlp,2294,0.9998276432355245,,0.9998276432355245,0.9906794784963132,0.5963870416666642,17.0,25.0,0.999833325544993,,,,0.23329570889472961,,,,,,,
lorenz_lobes,16,soft_eikonal,2294,1.0,,1.0,0.9892384938833615,4.3043421389999805,25.0,25.0,1.0,,,,0.23090060551961264,0.0026797552903493247,0.0006517469882965088,0.002307941516240438,0.04721709589163462,0.05435329178969065,0.0709867278734843,0.03804433966676394
lorenz_lobes,36,ordinary_mlp,7814,0.9996788601080576,,0.9996788601080576,0.9941985486758252,0.7229405000000023,1.0,17.0,0.9996666510899862,,,,0.21453013519446054,,,,,,,
lorenz_lobes,36,soft_eikonal,7814,1.0,,1.0,0.991359565332532,4.481755083666674,25.0,25.0,1.0,,,,0.2981984366973241,0.00048021475474039715,0.0005040367444356283,0.0013473927974700928,0.04370169093211492,0.05314763511220614,0.04613578195373217,0.029763702303171158
multiscale_1d,16,ordinary_mlp,2261,0.7988797392822639,,0.12648939169760667,0.7706208792690745,0.33897234699999973,725.0,,,6.9138773282368975,0.1733490879304568,,2.361098527908325,,,,,,,
multiscale_1d,16,soft_eikonal,2261,0.9634153052587734,,0.25978323548564425,0.9082730725085598,3.865143082999983,75.0,216.66666666666666,,3.2373738288879395,0.2983266435788958,,17.033785581588745,0.40076575611517007,0.44548846138935433,0.6542532386499953,0.11219272390007973,0.10997214168310165,0.12320630500713985,0.42389654119809467
